primary,name,do_id,kegg_id,pharmgkb_id,mesh_id,umls_cui,icd_10,icd_9,omim_id,iDISK_id
DOID:0040046,nickel allergic contact dermatitis,DOID:0040046,,,,C0263304,L23.0,,,
DOID:3042,allergic contact dermatitis,DOID:3042,H01357,PA446488,D017449,C0162820,L23,,,
DOID:0040047,trimellitic anhydride allergic asthma,DOID:0040047,,,,,,,,
DOID:0040048,phthalic anhydride allergic asthma,DOID:0040048,,,,,,,,
DOID:0040049,maleic anhydride allergic asthma,DOID:0040049,,,,,,,,
DOID:0040050,tetrachlorophthalic anhydride allergic asthma,DOID:0040050,,,,,,,,
DOID:0040051,hexahydrophthalic anhydride allergic asthma,DOID:0040051,,,,,,,,
DOID:0040052,"diphenylmethane-4,4'-diisocyanate allergic contact dermatitis",DOID:0040052,,,,,,,,
DOID:0040053,cobalt allergic contact dermatitis,DOID:0040053,,,,,,,,
DOID:0040054,cobalt allergic asthma,DOID:0040054,,,,,,,,
DOID:0040055,palladium allergic contact dermatitis,DOID:0040055,,,,,,,,
DOID:0040056,chromium allergic contact dermatitis,DOID:0040056,,,,,L23.0,,,
DOID:0040057,benzoic acid allergic contact dermatitis,DOID:0040057,,,,C0571102,,,,
DOID:0040058,"1,4-phenylenediamine allergic contact dermatitis",DOID:0040058,,,,,,,,
DOID:0040059,potassium dichromate allergic contact dermatitis,DOID:0040059,,,,,,,,
DOID:0040060,ketoprofen photoallergic dermatitis,DOID:0040060,,,,C0570547,,,,
DOID:3818,photoallergic dermatitis,DOID:3818,,,D017454,C0162824,,,,
DOID:0040061,remazole black respiratory allergy,DOID:0040061,,,,,,,,
DOID:0060496,respiratory allergy,DOID:0060496,,,,C3825727,,,,
DOID:0040062,chloramine t respiratory allergy,DOID:0040062,,,,,,,,
DOID:0040063,4-vinylcyclohexene dioxide respiratory allergy,DOID:0040063,,,,,,,,
DOID:0040064,carvone allergic contact dermatitis,DOID:0040064,,,,,,,,
DOID:0040065,quinidine allergy,DOID:0040065,,,,C0571881,,,,
DOID:0040066,melphalan allergy,DOID:0040066,,,,C0570673,,,,
DOID:0040067,neomycin sulfate allergic contact dermatitis,DOID:0040067,,,,C1443961,,,,
DOID:0040068,4-tert-butylphenol allergic contact dermatitis,DOID:0040068,,,,,,,,
DOID:0040069,"1-chloro-2,4-dinitrobenzene allergic contact dermatitis",DOID:0040069,,,,,,,,
DOID:0040070,co-trimoxazole allergy,DOID:0040070,,,,C0571504,,,,
DOID:0040071,sodium aurothiomalate allergy,DOID:0040071,,,,C0571155,,,,
DOID:0040072,parthenolide allergic contact dermatitis,DOID:0040072,,,,,,,,
DOID:0040073,disodium cromoglycate allergy,DOID:0040073,,,,,,,,
DOID:0040074,formaldehyde allergic contact dermatitis,DOID:0040074,,,,C0571339,,,,
DOID:0040075,benzo[d]isothiazol-3-one allergic contact dermatitis,DOID:0040075,,,,,,,,
DOID:0040076,phthalyl group allergy,DOID:0040076,,,,C0571482,,,,
DOID:0040077,alcuronium bromide allergy,DOID:0040077,,,,,,,,
DOID:0040078,gallamine allergy,DOID:0040078,,,,C0571145,,,,
DOID:0040079,"2,4-dinitrophenyl allergic contact dermatitis",DOID:0040079,,,,,,,,
DOID:0040080,patent blue v allergy,DOID:0040080,,,,,,,,
DOID:0040081,acid anhydride respiratory allergy,DOID:0040081,,,,,,,,
DOID:0040082,oxirane allergy,DOID:0040082,,,,,,,,
DOID:0040083,chlamydia pneumonia,DOID:0040083,H00351,,D061387,C0339959,J16.0,483.1,,
DOID:874,bacterial pneumonia,DOID:874,,PA446721,D018410,C0004626,J15.9,482.9,,
DOID:0040084,streptococcus pneumonia,DOID:0040084,,,D011018,C0155862,J13,481,,
DOID:0040085,bacterial sepsis,DOID:0040085,,PA446771,D018805,C0243026,,995.91,,
DOID:104,bacterial infectious disease,DOID:104,,PA443474,D001424,C0004623,A49.9,,,DC0491629
DOID:0040086,polyomavirus-associated nephropathy,DOID:0040086,,,,C1697878,,,,
DOID:934,viral infectious disease,DOID:934,,PA165108709,D001102,C0003723,A94,060-066.99,,
DOID:0040087,autoimmune peripheral neuropathy,DOID:0040087,,,,,,,,
DOID:0060033,autoimmune disease of peripheral nervous system,DOID:0060033,,,,,,,,
DOID:0040088,autoimmune uveitis,DOID:0040088,,,,C3888523,,,,
DOID:0060030,"autoimmune disease of eyes, ear, nose and throat",DOID:0060030,,,,,,,,
DOID:0040089,autoimmune optic neuritis,DOID:0040089,,,,,,,,
DOID:0040090,autoimmune gastritis,DOID:0040090,,,,C3887639,,,,
DOID:0060031,autoimmune disease of gastrointestinal tract,DOID:0060031,,,,,,,,
DOID:0040091,autoimmune pancreatitis,DOID:0040091,,,D000081012,C2609129,,,,
DOID:0060005,autoimmune disease of endocrine system,DOID:0060005,,,,,,,,
DOID:0040092,juvenile ankylosing spondylitis,DOID:0040092,,,,C0409675,M08.1,,,
DOID:0060032,autoimmune disease of musculoskeletal system,DOID:0060032,,,,,,,,
DOID:0040093,drug-induced lupus erythematosus,DOID:0040093,,,,C0263591,M32.0,,,
DOID:8857,lupus erythematosus,DOID:8857,,PA444819,,C0409974,L93,695.4,,DC0479127
DOID:0040094,autoimmune glomerulonephritis,DOID:0040094,,,,C3278903,,,,
DOID:0060049,autoimmune disease of urogenital tract,DOID:0060049,,,,,,,,
DOID:0040095,autoimmune cardiomyopathy,DOID:0040095,,,,,,,,
DOID:0060051,autoimmune disease of cardiovascular system,DOID:0060051,,,,,,,,
DOID:0040096,autoimmune atherosclerosis,DOID:0040096,,,,,,,,
DOID:0040097,autoimmune vasculitis,DOID:0040097,,,,C1328843,,,,
DOID:0040098,pemphigus gestationis,DOID:0040098,,,,,O26.4,,,
DOID:0060039,autoimmune disease of skin and connective tissue,DOID:0060039,,,,,,,,
DOID:0040099,livedoid vasculitis,DOID:0040099,,,,C0343081,L95.0,709.1,,
DOID:865,vasculitis,DOID:865,,PA446023,D014657,C0042384,,,,
DOID:0040100,hirata disease,DOID:0040100,,,,C0854359,,,,
DOID:0040101,"n,n'-diphenylthiourea allergic contact dermatitis",DOID:0040101,,,,,,,,
DOID:0040102,"n,n'-diethylthiourea allergic contact dermatitis",DOID:0040102,,,,,,,,
DOID:0040103,cefotiam allergy,DOID:0040103,,,,,,,,
DOID:0040104,"toluene 2,4-diisocyanate allergic asthma",DOID:0040104,,,,,,,,
DOID:0050001,obsolete actinomadura madurae infectious disease,DOID:0050001,,,,,,,,
DOID:0050002,obsolete actinomadura pelletieri infectious disease,DOID:0050002,,,,,,,,
DOID:0050003,obsolete streptomyces somaliensis infectious disease,DOID:0050003,,,,,,,,
DOID:0050004,seminal vesicle acute gonorrhea,DOID:0050004,,,,,,,,
DOID:10400,gonococcal seminal vesiculitis,DOID:10400,,,,C0578661,,,,
DOID:0050007,obsolete cutaneous strongyloidiasis,DOID:0050007,,,,,,,,
DOID:0050009,obsolete intestinal strongyloidiasis,DOID:0050009,,,,,,,,
DOID:0050010,obsolete mansonella perstans infectious disease,DOID:0050010,,,,,,,,
DOID:0050011,obsolete mansonella streptocerca infectious disease,DOID:0050011,,,,,,,,
DOID:0050012,chikungunya,DOID:0050012,H01540,,D065632,C0008055,,,,
DOID:0050013,carbohydrate metabolism disease,DOID:0050013,,,,,,,,
DOID:0060158,acquired metabolic disease,DOID:0060158,,,,,,,,
DOID:0050014,obsolete epizootic hemorrhagic disease,DOID:0050014,,,,,,,,
DOID:0050015,obsolete rocio virus encephalitis,DOID:0050015,,,,,,,,
DOID:0050024,obsolete ehrlichia ewingii ehrlichiosis,DOID:0050024,,,,,,,,
DOID:0050025,human granulocytic anaplasmosis,DOID:0050025,,,,C4476477,,,,
DOID:10242,ehrlichiosis,DOID:10242,H01141,,D016873,C0085399,A77.4,082.4,,
DOID:0050026,human monocytic ehrlichiosis,DOID:0050026,,,,,,,,
DOID:0050032,mineral metabolism disease,DOID:0050032,,,,,,,,
DOID:0050035,african tick-bite fever,DOID:0050035,,,,C1320317,,,,
DOID:11104,spotted fever,DOID:11104,H02379,,D000073605,C0038041,A77.9,082.0,,
DOID:0050041,astrakhan spotted fever,DOID:0050041,,,,C0549160,,,,
DOID:0050042,indian tick typhus,DOID:0050042,,,,C0343768,,,,
DOID:0050043,israeli tick typhus,DOID:0050043,,,,,,,,
DOID:0050046,far eastern spotted fever,DOID:0050046,,,,C3532354,,,,
DOID:0050047,flinders island spotted fever,DOID:0050047,,,,C4505102,,,,
DOID:0050050,japanese spotted fever,DOID:0050050,,,,C2108396,,,,
DOID:0050051,rickettsia parkeri spotted fever,DOID:0050051,,,,,,,,
DOID:0050052,rocky mountain spotted fever,DOID:0050052,,,D012373,C0035793,,,,
DOID:0050053,obsolete rickettsia honei spotted fever,DOID:0050053,,,,,,,,
DOID:0050059,oropharyngeal anthrax,DOID:0050059,,,,,,,,
DOID:13386,gastrointestinal anthrax,DOID:13386,,,C571911,C0152945,A22.2,022.2,,
DOID:0050061,erysipeloid,DOID:0050061,,,D004887,C1276801,,,,
DOID:0050338,primary bacterial infectious disease,DOID:0050338,,,,,,,,
DOID:0050063,obsolete abortive plague,DOID:0050063,,,,,,,,
DOID:0050065,obsolete cutaneous listeriosis,DOID:0050065,,,,,,,,
DOID:0050066,obsolete listeria meningoencephalitis,DOID:0050066,,,,,,,,
DOID:0050067,obsolete listeria septicaemia,DOID:0050067,,,,,,,,
DOID:0050068,obsolete pestis minor,DOID:0050068,,,,,,,,
DOID:0050069,obsolete yersinia pestis infectious disease,DOID:0050069,,,,,,,,
DOID:0050070,obsolete plague meningitis,DOID:0050070,,,,,,,,
DOID:0050072,adiaspiromycosis,DOID:0050072,,,C000656784,C0259737,,,,
DOID:0050292,primary systemic mycosis,DOID:0050292,,,,,,,,
DOID:0050073,invasive aspergillosis,DOID:0050073,,,,C0238013,,,,
DOID:13564,aspergillosis,DOID:13564,H01328,PA443444,D001228,C0004030,B44,117.3,,
DOID:0050074,obsolete tonsillar aspergillosis,DOID:0050074,,,,,,,,
DOID:0050075,obsolete pulmonary blastomycosis,DOID:0050075,,,,,,,,
DOID:0050078,obsolete cervix tuberculosis,DOID:0050078,,,,,,,,
DOID:0050079,obsolete niacin deficiency,DOID:0050079,,,,,,,,
DOID:0050080,obsolete iodine deficiency,DOID:0050080,,,,,,,,
DOID:0050082,obsolete hepatic torque teno virus infectious disease,DOID:0050082,,,,,,,,
DOID:0050083,keshan disease,DOID:0050083,,,C536166,C0268095,,,,
DOID:5113,nutritional deficiency disease,DOID:5113,,PA443848,D003677,C0011156,,,,
DOID:0050084,obsolete rhinotracheitis,DOID:0050084,,,,,,,,
DOID:0050085,obsolete entomophthoromycosis,DOID:0050085,,,,,,,,
DOID:0050086,obsolete cutaneous mucormycosis,DOID:0050086,,,,,,,,
DOID:0050088,obsolete gastrointestinal mucormycosis,DOID:0050088,,,,,,,,
DOID:0050089,obsolete pulmonary mucormycosis,DOID:0050089,,,,,,,,
DOID:0050090,obsolete rhinocerebral mucormycosis,DOID:0050090,,,,,,,,
DOID:0050091,obsolete disseminated paracoccidioidomycosis,DOID:0050091,,,,,,,,
DOID:0050092,obsolete pulmonary paracoccidioidomycosis,DOID:0050092,,,,,,,,
DOID:0050093,obsolete disseminated sporotrichosis,DOID:0050093,,,,,,,,
DOID:0050094,obsolete lymphocutaneous sporotrichosis,DOID:0050094,,,,,,,,
DOID:0050095,obsolete pulmonary sporotrichosis,DOID:0050095,,,,,,,,
DOID:0050096,tinea barbae,DOID:0050096,,,C000656825,C2349994,,,,
DOID:8913,dermatophytosis,DOID:8913,,,,C0011636,B35,110,,
DOID:0050097,ectothrix infectious disease,DOID:0050097,,,,,,,,
DOID:4337,tinea capitis,DOID:4337,,,,C0011640,,110.0,,
DOID:0050098,obsolete microsporum audouinii tinea capitis,DOID:0050098,,,,,,,,
DOID:0050099,obsolete microsporum canis tinea capitis,DOID:0050099,,,,,,,,
DOID:0050100,obsolete microsporum distortum tinea capitis,DOID:0050100,,,,,,,,
DOID:0050101,obsolete microsporum ferrugineum tinea capitis,DOID:0050101,,,,,,,,
DOID:0050102,obsolete microsporum gypseum tinea capitis,DOID:0050102,,,,,,,,
DOID:0050103,obsolete microsporum nanum tinea capitis,DOID:0050103,,,,,,,,
DOID:0050104,obsolete trichophyton verrucosum tinea capitis,DOID:0050104,,,,,,,,
DOID:0050105,endothrix infectious disease,DOID:0050105,,,,,,,,
DOID:0050106,obsolete trichophyton soudanense tinea capitis,DOID:0050106,,,,,,,,
DOID:0050107,obsolete trichophyton tonsurans tinea capitis,DOID:0050107,,,,,,,,
DOID:0050108,obsolete trichophyton violaceum tinea capitis,DOID:0050108,,,,,,,,
DOID:0050110,obsolete trichophyton schoenleinii tinea capitis,DOID:0050110,,,,,,,,
DOID:0050111,obsolete microsporum fulvum tinea capitis,DOID:0050111,,,,,,,,
DOID:0050112,obsolete trichophyton megninii tinea capitis,DOID:0050112,,,,,,,,
DOID:0050113,obsolete trichophyton equinum tinea capitis,DOID:0050113,,,,,,,,
DOID:0050115,obsolete trichophyton yaoundei tinea capitis,DOID:0050115,,,,,,,,
DOID:0050116,tinea imbricata,DOID:0050116,,,,C0040255,,,,
DOID:12179,tinea corporis,DOID:12179,,,,C0546826,,110.5,,
DOID:0050117,disease by infectious agent,DOID:0050117,,,,C0001485,,079.0,,
DOID:0050118,la crosse encephalitis,DOID:0050118,H01537,PA165108121,D004670,C0014053,A83.5,062.5,,
DOID:0050119,obsolete west nile virus neurological syndrome,DOID:0050119,,,,,,,,
DOID:0050120,hemophagocytic lymphohistiocytosis,DOID:0050120,,PA165108876,D051359,C0024291,D76.1,,,
DOID:75,lymphatic system disease,DOID:75,,PA444833,D008206,C0024228,,,,
DOID:0050123,obsolete tuberculous encephalitis,DOID:0050123,,,,,,,,
DOID:0050125,dengue shock syndrome,DOID:0050125,,,,C0376300,,,,
DOID:12205,dengue disease,DOID:12205,H00381,PA443855,D003715,C0011311,A90,061,,
DOID:0050126,obsolete tahyna virus encephalitis,DOID:0050126,,,,,,,,
DOID:0050127,sinusitis,DOID:0050127,,,,C0149512,J01,461,,
DOID:1352,paranasal sinus disease,DOID:1352,,,D010254,C0030469,,,,
DOID:0050129,secretory diarrhea,DOID:0050129,,,,C0267557,,,,
DOID:13250,diarrhea,DOID:13250,,,,,,009.2,,
DOID:0050130,osmotic diarrhea,DOID:0050130,,,,C0267556,,,,
DOID:0050131,motility-related diarrhea,DOID:0050131,,,,,,,,
DOID:0050132,inflammatory diarrhea,DOID:0050132,,,,C0521604,,,,
DOID:0050133,superficial mycosis,DOID:0050133,,PA445323,D010854,C0031898,B36.9,,,
DOID:1564,fungal infectious disease,DOID:1564,,PA445009,D009181,C0026946,B49,110-118.99,,DC0481735
DOID:0050134,cutaneous mycosis,DOID:0050134,,PA165108191,D003881,C0011630,,,,
DOID:0050135,subcutaneous mycosis,DOID:0050135,,,,C5230306,,,,
DOID:0050136,systemic mycosis,DOID:0050136,,,,C0553576,,,,
DOID:0050138,podoconiosis,DOID:0050138,,,,C1280469,,,,
DOID:4976,elephantiasis,DOID:4976,,PA166048861,D004604,C0013882,,,,
DOID:0050139,obsolete opisthorchis felineus infectious disease,DOID:0050139,,,,,,,,
DOID:0050140,acute diarrhea,DOID:0050140,,,,C0740441,,,,
DOID:0050141,intestinal botulism,DOID:0050141,,,,C1443901,,,,
DOID:11976,botulism,DOID:11976,H00339,,D001906,C0006057,A05.1,,,
DOID:0050143,asymptomatic dengue,DOID:0050143,,,,,,,,
DOID:0050144,kartagener syndrome,DOID:0050144,H00564,PA444665,D007619,C0022521,,,,
DOID:9562,primary ciliary dyskinesia,DOID:9562,,PA443735,D002925,C0008780,,,,
DOID:0050145,adenoiditis,DOID:0050145,,,,C0396023,J35.02,474.01,,
DOID:974,upper respiratory tract disease,DOID:974,,,,C0029581,,478.19,,
DOID:0050147,otomycosis,DOID:0050147,,,D059249,C0029895,,,,
DOID:9463,otitis externa,DOID:9463,,,,C0021355,,380.1,,
DOID:0050148,laryngotracheitis,DOID:0050148,,,,C0155811,J04,464,,
DOID:0050150,pontiac fever,DOID:0050150,,,,C0343528,,,,
DOID:10458,legionellosis,DOID:10458,,,D007876,C0023240,,,,
DOID:0050151,obsolete tracheobronchial tuberculosis,DOID:0050151,,,,,,,,
DOID:0050152,aspiration pneumonia,DOID:0050152,,PA445356,D011015,C0032290,J69.0,,,
DOID:0050153,pulmonary aspergilloma,DOID:0050153,,,,,,,,
DOID:0050154,obsolete mycoplasmal pneumonia,DOID:0050154,,,,,,,,
DOID:0050155,sensory system disease,DOID:0050155,,,,,,,,
DOID:863,nervous system disease,DOID:863,,PA445093,D009422,C0027765,G98,349.9,,
DOID:0050156,idiopathic pulmonary fibrosis,DOID:0050156,,,D054990,C1800706,J84.112,516.31,,
DOID:3770,pulmonary fibrosis,DOID:3770,,PA445468,D011658,C0034069,,,,
DOID:0050157,cryptogenic organizing pneumonia,DOID:0050157,,PA446744,D018549,C0242770,J84.116,516.36,,
DOID:2797,idiopathic interstitial pneumonia,DOID:2797,,,D000080203,C0085786,J84.114,,,DC0481114
DOID:0050158,desquamative interstitial pneumonia,DOID:0050158,,,C562470,C0238378,J84.117,516.37,,
DOID:0050159,lymphoid interstitial pneumonia,DOID:0050159,,,C562489,C0264511,,,,
DOID:0050160,inhalation anthrax,DOID:0050160,,,C571912,C0155866,,,,
DOID:7427,anthrax disease,DOID:7427,H00328,PA443385,D000881,C0003175,A22,022,,
DOID:0050161,lower respiratory tract disease,DOID:0050161,,,,,,478.19,,
DOID:1579,respiratory system disease,DOID:1579,,,,C0029582,J98,519,,
DOID:0050162,obsolete influenza encephalopathy,DOID:0050162,,,,,,,,
DOID:0050163,obsolete influenza myocarditis,DOID:0050163,,,,,,,,
DOID:0050164,obsolete influenza myositis,DOID:0050164,,,,,,,,
DOID:0050165,obsolete tuberculous mesenteric gland,DOID:0050165,,,,,,,,
DOID:0050166,tuberculous salpingitis,DOID:0050166,,,,C0152828,A18.17,016.6,,
DOID:2149,urogenital tuberculosis,DOID:2149,,PA165108487,D014401,C0041333,A18.1,016,,
DOID:0050167,autoimmune polyendocrine syndrome type 1,DOID:0050167,,,,,,,,
DOID:14040,autoimmune polyendocrine syndrome,DOID:14040,,PA446409,D016884,C0085409,E31.0,,,
DOID:0050168,autoimmune polyendocrine syndrome type 2,DOID:0050168,,,,,,,,
DOID:0050169,cutaneous lupus erythematosus,DOID:0050169,H01595,PA444820,D008178,C0024137,,,,DC0479714
DOID:0050170,obsolete jamestown canyon encephalitis,DOID:0050170,,,,,,,,
DOID:0050171,obsolete snowshoe hare encephalitis,DOID:0050171,,,,,,,,
DOID:0050172,obsolete trivittatus encephalitis,DOID:0050172,,,,,,,,
DOID:0050173,obsolete inkoo encephalitis,DOID:0050173,,,,,,,,
DOID:0050174,kunjin encephalitis,DOID:0050174,,,,,,,,
DOID:2365,west nile encephalitis,DOID:2365,,,,C0751583,A92.31,066.41,,
DOID:0050175,tick-borne encephalitis,DOID:0050175,H00380,PA444020,D004675,C0014054,A84.1,063.2,,
DOID:0050177,monogenic disease,DOID:0050177,,,,,,,,
DOID:630,genetic disease,DOID:630,,PA447188,D030342,C0019247,,,,
DOID:0050178,obsolete complex genetic disease,DOID:0050178,,,,,,,,
DOID:0050179,powassan encephalitis,DOID:0050179,,,,C0032858,,,,
DOID:0050180,obsolete colorado tick fever encephalitis,DOID:0050180,,,,,,,,
DOID:0050181,obsolete herpes simplex virus encephalitis,DOID:0050181,,,,,,,,
DOID:0050182,obsolete varicella-zoster virus encephalitis,DOID:0050182,,,,,,,,
DOID:0050183,obsolete epstein-barr virus encephalitis,DOID:0050183,,,,,,,,
DOID:0050184,obsolete measles virus encephalitis,DOID:0050184,,,,,,,,
DOID:0050185,erythema multiforme,DOID:0050185,H01695,PA165108357,D004892,C0014742,,,,
DOID:37,skin disease,DOID:37,,PA445676,D012871,C0029574,,702,,
DOID:0050186,obsolete cytomegalovirus encephalitis,DOID:0050186,,,,,,,,
DOID:0050187,obsolete rubella virus encephalitis,DOID:0050187,,,,,,,,
DOID:0050188,obsolete coxsackievirus encephalitis,DOID:0050188,,,,,,,,
DOID:0050189,obsolete polioencephalitis,DOID:0050189,,,,,,,,
DOID:0050190,obsolete adenovirus encephalitis,DOID:0050190,,,,,,,,
DOID:0050191,obsolete influenza virus encephalitis,DOID:0050191,,,,,,,,
DOID:0050192,nipah virus encephalitis,DOID:0050192,,,,C4303115,,,,
DOID:0050193,obsolete lymphocytic choriomeningitis virus encephalitis,DOID:0050193,,,,,,,,
DOID:0050194,argentine hemorrhagic fever,DOID:0050194,,,,,,,,
DOID:0050195,bolivian hemorrhagic fever,DOID:0050195,,,,C0282192,,,,
DOID:0050196,venezuelan hemorrhagic fever,DOID:0050196,,,,C0042470,,,,
DOID:0050197,brazilian hemorrhagic fever,DOID:0050197,,,,C0343633,,,,
DOID:0050198,chapare hemorrhagic fever,DOID:0050198,,,,C4274434,,,,
DOID:0050199,whitewater arroyo hemorrhagic fever,DOID:0050199,,,,,,,,
DOID:0050200,korean hemorrhagic fever,DOID:0050200,H00389,PA165108230,D006480,C0019101,,,,
DOID:11266,hantavirus hemorrhagic fever with renal syndrome,DOID:11266,,,,,A98.5,078.6,,
DOID:0050201,nephropathia epidemica,DOID:0050201,,,,C0242993,,,,
DOID:0050202,lujo hemorrhagic fever,DOID:0050202,,,,C4274433,,,,
DOID:0050203,obsolete cytomegalovirus hepatitis,DOID:0050203,,,,,,,,
DOID:0050204,epstein-barr virus hepatitis,DOID:0050204,,,,C0554114,,,,
DOID:1884,viral hepatitis,DOID:1884,,,D006524,C0019194,,,,
DOID:0050205,obsolete herpes simplex virus hepatitis,DOID:0050205,,,,,,,,
DOID:0050206,obsolete adenovirus hepatitis,DOID:0050206,,,,,,,,
DOID:0050207,obsolete rubella virus hepatitis,DOID:0050207,,,,,,,,
DOID:0050208,obsolete yellow fever hepatitis,DOID:0050208,,,,,,,,
DOID:0050209,obsolete measles virus hepatitis,DOID:0050209,,,,,,,,
DOID:0050210,obsolete varicella-zoster virus hepatitis,DOID:0050210,,,,,,,,
DOID:0050211,swine influenza,DOID:0050211,,,,C0276357,,,,
DOID:8469,influenza,DOID:8469,H00398,PA444621,D007251,C0021400,J11.1,487,,DC0478849
DOID:0050212,obsolete campylobacter jejuni gastroenteritis,DOID:0050212,,,,,,,,
DOID:0050213,obsolete vibrio gastroenteritis,DOID:0050213,,,,,,,,
DOID:0050214,lambert-eaton myasthenic syndrome,DOID:0050214,H01596,PA165108254,D015624,C0022972,G70.80,358.3,,
DOID:439,neuromuscular junction disease,DOID:439,,,D020511,C0751950,,,,
DOID:0050215,obsolete staphylococcus gastroenteritis,DOID:0050215,,,,,,,,
DOID:0050216,obsolete bacillus cereus gastroenteritis,DOID:0050216,,,,,,,,
DOID:0050217,obsolete sapovirus gastroenteritis,DOID:0050217,,,,,,,,
DOID:0050218,polycystic echinococcosis,DOID:0050218,,,,,,,,
DOID:1496,echinococcosis,DOID:1496,H01153,PA165109061,D004443,C0013502,B67,122,,
DOID:0050219,obsolete hepeviridae infectious disease,DOID:0050219,,,,,,,,
DOID:0050220,obsolete coxiella burnetii pneumonia,DOID:0050220,,,,,,,,
DOID:0050221,obsolete coxiella burnetii hepatitis,DOID:0050221,,,,,,,,
DOID:0050222,selective igm deficiency disease,DOID:0050222,,,,,,,,
DOID:11702,dysgammaglobulinemia,DOID:11702,,PA165109137,D004406,C0013374,,,,
DOID:0050223,obsolete candidal gastritis,DOID:0050223,,,,,,,,
